type,area,sfid,address
順豐站,長沙灣,852DDL,九龍長沙灣幸祥街8號幸福邨幸福商場地下6號舖
順豐站,九龍灣,852HBL,九龍九龍灣牛頭角道3號得寶商場1樓209號舖
順豐站,九龍灣,852HFL,九龍九龍灣宏光道80號麗晶花園1樓129號舖
順豐站,慈雲山,852HDL,九龍慈雲山毓華街23號慈樂邨慈雲山中心6樓652B號舖
順豐站,九龍城,852KCL,九龍九龍城衙前塱道3-13號大華大廈地下13號舖
順豐站,牛頭角,852CML,九龍牛頭角觀塘花園玉蓮臺2座地下1號舖
順豐站,牛頭角,852HGL,九龍牛頭角安基苑安基商場1樓131A號舖
順豐站,將軍澳,852AAL,新界將軍澳毓雅里9號慧安園商場地下A4號舖
順豐站,將軍澳,852ABL,新界將軍澳唐俊街11號寶盈花園商場地下S8B號舖
順豐站,將軍澳,852AIL,新界將軍澳坑口常寧路10號安寧花園1座地下1號舖
順豐站,將軍澳,852CLL,新界將軍澳唐明街2號尚德邨尚德廣場2樓215號舖
順豐站,將軍澳,852CPL,新界將軍澳坑口海悅豪園UG17號舖
順豐站,西貢,852AHL,新界西貢宜春街66號地下10號舖
順豐站,馬鞍山,852FDL,新界馬鞍山新港城第一期A及B座地下21號舖
順豐站,馬鞍山,852NEL,新界馬鞍山沙安街23號利安邨利安商場LG/1樓113號舖
順豐站,馬鞍山,852NML,新界馬鞍山鞍駿街1號馬鞍山中心地下A15舖
順豐站,馬鞍山,852NGL,新界馬鞍山海濱鞍駿街15號雅濤居購物商場1樓15號舖
順豐站,大圍,852FEL,新界大圍積福街4號地下E舖
順豐站,大圍,852FVL,新界大圍富田里雲疊花園商場地下3A號舖
順豐站,大圍,852NBL,新界沙田車公廟道69號顯徑邨顯徑商場1樓203號舖
順豐站,大埔,852FCL,新界大埔安慈路4號昌運中心地下A5舖
順豐站,大埔,852NCL,新界大埔廣福邨廣仁樓地下S13號舖
順豐站,大埔,852NHL,新界大埔太和路15號太和中心地下30號舖
順豐站,大埔,852NLL,新界大埔富善商場1樓 F122B舖
順豐站,沙田,852FML,新界沙田港鐵石門站SHM 9號舖 (入閘區大堂)
順豐站,沙田,852FSL,新界沙田百得街置富第一城樂薈地下G41號舖
順豐站,沙田,852NAL,新界沙田乙明邨街市地下攤檔18號
順豐站,沙田,852NJL,新界沙田瀝源街6號瀝源邨華豐樓地下ST5號舖
順豐站,屯門,852FAL,新界屯門屯利街1號華都花園商場地下29舖
順豐站,屯門,852FFL,新界屯門良德街9號盈豐商場1樓B29B舖
順豐站,屯門,852FNL,新界屯門港鐵兆康站SIH 1號舖 (E出口)
順豐站,屯門,852UAL,新界屯門湖翠路138號啟豐園商場地下36號舖
順豐站,屯門,852UDL,新界屯門井財街11號仁愛大廈地下9號舖
順豐站,屯門,852UEL,新界屯門鄉事會路2A安定邨安定商場地下A135-A136號舖
順豐站,元朗,852FGL,新界元朗合益路72號新景樓地下F舖
順豐站,元朗,852FLL,新界元朗屏會街9號同發大廈地下F鋪連閣樓
順豐站,元朗,852UBL,新界元朗洪水橋盈福街11號洪福樓地下A舖
順豐站,元朗,852UFL,新界元朗鳳攸南街3號好順景大廈地下27舖
順豐站,元朗,852UGL,新界元朗元朗安興街59-67號安泰樓地下3號舖
順豐站,元朗,852UHL,新界元朗水車館街28號萬金中心地下1A號鋪
順豐站,粉嶺,852FHL,新界粉嶺新運路38號祥華邨祥頌樓G111-112舖
順豐站,粉嶺,852FJL,新界粉嶺一鳴路15號碧湖花園碧湖商場地下1號
順豐站,粉嶺,852NFL,新界粉嶺聯和墟和泰街17號地下A舖
順豐站,上水,852FIL,新界上水龍琛路33號龍豐花園龍豐廣場65舖
順豐站,上水,852FTL,新界上水彩園路彩園邨彩珠樓地下117號舖
順豐站,上水,852NDL,新界上水馬會道148A號地下10A舖
順豐站,荃灣,852GDL,新界荃灣青山公路264-298號南豐中心12樓1243號室
順豐站,荃灣,852GEL,新界荃灣荃豐中心2樓2號舖
順豐站,葵涌,852LAL,新界葵涌榮芳路9號恒景花園恒景商場地下G16舖
順豐站,葵涌,852LBL,新界葵涌大隴街129-151號葵都大廈地下7號舖
順豐站,葵涌,852LCL,新界葵涌葵富路7-11號葵涌廣場地下53A號舖
順豐站,天水圍,852FKL,新界天水圍天恩路12-18 號置富嘉湖1期186號舖
順豐站,天水圍,852FBL,新界天水圍天湖路1號嘉湖新北江商場地下A98 -99號舖
順豐站,天水圍,852UCL,新界天水圍天瑞路71-77號天澤商場3樓303舖
順豐站,天水圍,852UJL,新界天水圍天秀路8號天一商城3樓3007號鋪
順豐站,青衣,852GCL,新界青衣青敬路77號海悅花園地下18號舖
順豐站,青衣,852GKL,新界青衣青康路12號長康商場二期3樓303號舖
順豐站,東涌,852GBL,新界東涌逸東街8號逸東邨逸東商場2樓207號舖
順豐站,荔景,852DEL,新界荔景荔景邨明景樓地下4號舖
順豐站,荔景,852DFL,新界荔景景荔徑8號盈暉薈1樓101號舖
順便智能櫃,天水圍,H852UA02P,新界天水圍天華路30-33號T Town南座地下順便智能櫃
順便智能櫃,天水圍,H852UA12P,新界天水圍天瑞路天恩商場一樓順便智能櫃
順便智能櫃,天水圍,H852UA24P,新界天水圍天恩路2號栢慧豪園會所順便智能櫃(只供住戶使用)*
順便智能櫃,天水圍,H852UA29P,新界天水圍天湖路1號新北江商場一樓D8R1號舖順便智能櫃
順便智能櫃,天水圍,H852UA36P,新界天水圍天華路天晴邨晴彩樓地下順便智能櫃+
順便智能櫃,天水圍,H852UA46P,新界天水圍天湖路天耀廣場地下順便智能櫃+
順便智能櫃,天水圍,H852UA54P,新界天水圍天秀路15號天富苑A座元富閣地下順便智能櫃+
順便智能櫃,天水圍,H852UA55P,新界天水圍天秀路15號天富苑Q座雅富閣地下順便智能櫃+
順便智能櫃,元朗,H852U011P,新界元朗青山公路洪水橋段600號尚城地下順便智能櫃(只供住戶使用)*
順便智能櫃,元朗,H852U057P,新界元朗青山公路洪水橋段512號蔚林A區會所地下順便智能櫃(只供住戶使用)*
順便智能櫃,元朗,H852UA06P,新界元朗朗屏路1號朗屏商場二樓順便智能櫃
順便智能櫃,元朗,H852UA07P,新界元朗合財街33號合益商場一樓12號舖順便智能櫃
順便智能櫃,元朗,H852UA08P,新界元朗鳳群街11-15號萬豐大廈地下G56號舖順便智能櫃
順便智能櫃,元朗,H852UA09P,新界元朗泰豐街27-29號東昇樓地下D號舖(LaundrYup洗衣店)順便智能櫃
順便智能櫃,元朗,H852UA10P,新界元朗錦田公路183號四季名園地下順便智能櫃(只供住戶使用)*
順便智能櫃,元朗,H852UA11P,新界元朗錦田公路14號祠堂村地下順便智能櫃
順便智能櫃,元朗,H852UA23P,新界元朗錦上路157號四季豪園地下順便智能櫃(只供住戶使用)*
順便智能櫃,元朗,H852UA25P,新界元朗媽廟路17號水邊圍邨湖水樓地下順便智能櫃+
順便智能櫃,元朗,H852UA26P,新界元朗鳳琴街15-21號鴻運中心地下11號舖(LaundrYup洗衣店)順便智能櫃+
順便智能櫃,元朗,H852UA31P,新界元朗高埔村映堤103地下順便智能櫃
順便智能櫃,元朗,H852UA35P,新界元朗元龍街9號YoHo midtown第三座五樓平台順便智能櫃(只供住戶使用)*+
順便智能櫃,元朗,H852UA39P,新界元朗朗日街9號Grand YOHO二座五樓平台順便智能櫃(只供住戶使用)*+
順便智能櫃,元朗,H852UA40P,新界元朗朗日街9號Grand YOHO八座五樓平台順便智能櫃(只供住戶使用)*+
順便智能櫃,元朗,H852UA43P,新界元朗媽橫路66-89號幸福樓四期地下8-9號舖(全日洗洗衣店)順便智能櫃
順便智能櫃,元朗,H852UA44P,新界元朗安興街50號好彩洋樓K2舖(全日洗洗衣店)順便智能櫃
順便智能櫃,元朗,H852UA60P,新界元朗鳳琴街22號金龍樓商場地下走廊順便智能櫃+
順便智能櫃,元朗,H852UA62P,新界元朗青山公路元朗段123號開心廣場二樓順便智能櫃
順便智能櫃,屯門,H852U001P,新界屯門良運街3號建生商場地下順便智能櫃
順便智能櫃,屯門,H852U003P,新界屯門屯貴路9號富泰商場二樓順便智能櫃
順便智能櫃,屯門,H852U004P,新界屯門鳴琴路1號山景商場二樓順便智能櫃
順便智能櫃,屯門,H852U005P,新界屯門青河坊3號利寶商場地下99號舖(全日洗洗衣店)順便智能櫃
順便智能櫃,屯門,H852U007P,新界屯門景新徑2號景新臺地下順便智能櫃
順便智能櫃,屯門,H852U009P,新界屯門管青路2號愛琴海岸停車場順便智能櫃(只供住戶使用)*
順便智能櫃,屯門,H852U010P,新界屯門龍門路43號龍門居商場地下18號舖(水漾衣坊)順便智能櫃
順便智能櫃,屯門,H852U012P,新界屯門青山公路青山灣351號彩華花園地下24D號舖(水漾衣坊)順便智能櫃
順便智能櫃,屯門,H852U013P,新界屯門屯喜路2號屯門栢麗廣場地下順便智能櫃
順便智能櫃,屯門,H852U014P,新界屯門湖翠路2號美樂花園一樓(迪高保齡球館)順便智能櫃
順便智能櫃,屯門,H852U019P,新界屯門青海圍2號萬寶大廈商場地下84號舖順便智能櫃
順便智能櫃,屯門,H852U020P,新界屯門海榮路22號屯門中央廣場商場地下順便智能櫃
順便智能櫃,屯門,H852U021P,新界屯門海榮路22號屯門中央廣場寫字樓地下順便智能櫃
順便智能櫃,屯門,H852U022P,新界屯門瑜翠街9號瑜翠園二座平台順便智能櫃(只供住戶使用)*+
順便智能櫃,屯門,H852U027P,新界屯門青榕街1號海景花園第八座地下順便智能櫃(只供住戶使用)*+
順便智能櫃,屯門,H852U028P,新界屯門湖翠路138號啟豐園二座地下順便智能櫃(只供住戶使用)*
順便智能櫃,屯門,H852U030P,新界屯門龍門路55-65號新屯門中心廣場L2層33號舖順便智能櫃
順便智能櫃,屯門,H852U032P,新界屯門屯利街2號新都廣場地下109B號舖順便智能櫃
順便智能櫃,屯門,H852U033P,新界屯門龍門路45號富健花園停車場缷貨區地下順便智能櫃+
順便智能櫃,屯門,H852U034P,新界屯門湖翠路201號兆禧苑商場一樓順便智能櫃
順便智能櫃,屯門,H852U037P,新界屯門湖秀街2號悅湖山莊九座地下順便智能櫃+
順便智能櫃,屯門,H852U038P,新界屯門湖秀街2號悅湖山莊十二座地下順便智能櫃+
順便智能櫃,屯門,H852U041P,新界屯門龍逸邨健龍樓地下順便智能櫃+
順便智能櫃,屯門,H852U042P,新界屯門青山公路53號(新墟段)幸福樓三期地下4號舖順便智能櫃
順便智能櫃,屯門,H852U045P,新界屯門龍門路55-65號新屯門中心L4層電梯大堂出口側順便智能櫃(只供住戶使用)*+
順便智能櫃,屯門,H852U047P,新界屯門湖山路2-26號兆山苑樺景閣地下順便智能櫃+
順便智能櫃,屯門,H852U048P,新界屯門屯門鄉事會路122號至140號雅都花園商場地下(1號位置)順便智能櫃
順便智能櫃,屯門,H852U049P,新界屯門屯門鄉事會路122號至140號雅都花園商場地下(2號位置)順便智能櫃+
順便智能櫃,屯門,H852U050P,新界屯門湖翠路168-236號海翠花園地下西大堂順便智能櫃+
順便智能櫃,屯門,H852U051P,新界屯門屯門鄉事會路83號V City商場MTR層順便智能櫃+
順便智能櫃,屯門,H852U056P,新界屯門青柏徑6號鹿苑地下11號舖(全日洗洗衣店)順便智能櫃
順便智能櫃,屯門,H852U058P,新界屯門龍門路43號龍門居停車場大樓地下1號升降機旁順便智能櫃+
順便智能櫃,屯門,H852U059P,新界屯門建泰街6號恒威工業中心C座二樓順便智能櫃+
順便智能櫃,屯門,H852U061P,新界屯門仁愛堂街32號蘭苑地下14號舖(全日洗洗衣店)順便智能櫃
順便智能櫃,屯門,H852U063P,新界屯門屯門鄉事會路83號瓏門三樓1號穿梭升降機大堂順便智能櫃(只供住戶使用)*
順便智能櫃,屯門,H852U064P,新界屯門天后路18號南豐工業城中央服務大樓三樓順便智能櫃
順便智能櫃,東涌,H852G006P,新界東涌富東街6號富東廣場二樓順便智能櫃
順便智能櫃,東涌,H852G018P,新界東涌健東路1號映灣薈地下C03順便智能櫃+
順便智能櫃,梅窩,H852Q001P,新界大嶼山梅窩碼頭地下收費區內順便智能櫃
順便智能櫃,沙田,H852FE03P,新界沙田銀城街11-23號愉田苑F座愉悅閣地下順便智能櫃
順便智能櫃,沙田,H852FE09P,新界沙田水泉澳廣場二樓221舖順便智能櫃+
順便智能櫃,沙田,H852FE10P,新界沙田正街218號新城市廣場第三期B1層電梯大堂順便智能櫃(只供住戶使用)*+
順便智能櫃,沙田,H852FB12P,新界沙田安群街3號京瑞廣場一期一樓101號舖旁順便智能櫃+
順便智能櫃,沙田,H852FE14P,新界沙田沙角街6號博康邨博安樓地下順便智能櫃+
順便智能櫃,沙田,H852FE15P,新界沙田沙角街6號博康邨博裕樓地下順便智能櫃+
順便智能櫃,沙田,H852FE16P,新界沙田大涌橋路52號富豪花園商場一樓順便智能櫃+
順便智能櫃,大圍,H852FE01P,新界大圍美田路30號美林商場一樓順便智能櫃
順便智能櫃,大圍,H852FE04P,新界大圍翠田街2號新翠商場二樓順便智能櫃
順便智能櫃,大圍,H852FE06P,新界大圍香粉寮街美田商場二樓順便智能櫃+
順便智能櫃,大圍,H852FE08P,新界大圍車公廟道69號顯徑商場地下順便智能櫃
順便智能櫃,大圍,H852FE18P,新界大圍翠田街5-7號金獅花園一期E座地下順便智能櫃(只供住戶使用)*+
順便智能櫃,青衣,H852GC01P,新界青衣青衣航運路36號順豐大廈九樓順便智能櫃+
順便智能櫃,青衣,H852GC02P,新界青衣青衣航運路36號順豐大廈地下順便智能櫃
順便智能櫃,青衣,H852GC04P,新界青衣寮肚路6號長亨商場底層一樓順便智能櫃
順便智能櫃,青衣,H852GC05P,新界青衣寮肚路9號長宏商場地下順便智能櫃
順便智能櫃,青衣,H852GC13P,新界青衣細山路2-16號美景花園商場地下103號舖(水漾衣坊)順便智能櫃
順便智能櫃,青衣,H852GC15P,新界青衣青綠街1號偉景花園商場地下順便智能櫃
順便智能櫃,青衣,H852GC16P,新界青衣擔桿山路6號長發廣場二樓順便智能櫃
順便智能櫃,青衣,H852GC21P,新界青衣長青邨青槐樓市場入口順便智能櫃+
順便智能櫃,青衣,H852GC28P,新界青衣楓樹窩路1號翠怡商場一樓順便智能櫃
順便智能櫃,上水,H852A008P,新界上水龍琛路48號上水匯四樓順便智能櫃+
順便智能櫃,上水,H852A016P,新界上水清河邨清澤樓地下順便智能櫃+
順便智能櫃,上水,H852A017P,新界上水祥龍圍邨呈祥樓地下順便智能櫃+
順便智能櫃,粉嶺,H852A003P,新界粉嶺華明路22號雍盛商場一樓順便智能櫃
順便智能櫃,粉嶺,H852A005P,新界粉嶺百和路88號花都購物廣場地下124號舖(水漾衣坊)順便智能櫃
順便智能櫃,粉嶺,H852A006P,新界粉嶺馬適路1號逸峰廣場地下G19號舖順便智能櫃+
順便智能櫃,粉嶺,H852A012P,新界粉嶺置嘉里8號嘉福商場地下順便智能櫃+
順便智能櫃,大埔,H852AA02P,新界大埔曉運路10號運頭塘商場地下順便智能櫃
順便智能櫃,大埔,H852AA04P,新界大埔太和路12號太和廣場一樓順便智能櫃
順便智能櫃,大埔,H852AA06P,新界大埔圍頭村163號地下(寵物國度)順便智能櫃
順便智能櫃,大埔,H852AA09P,新界大埔安埔路12號富善邨善群樓地下順便智能櫃+
順便智能櫃,大埔,H852AA10P,新界大埔北盛街19號熙泰樓地下B號舖順便智能櫃+
順便智能櫃,大埔,H852AA13P,新界大埔梅樹坑路8號帝欣苑一期停車場順便智能櫃(只供住戶使用)*
順便智能櫃,大埔,H852AA14P,新界大埔頌雅路6號富亨商場地下順便智能櫃+
順便智能櫃,大埔,H852AA18P,新界大埔安邦路8及10號大埔超級城C區二樓順便智能櫃+
順便智能櫃,大埔,H852AA19P,新界大埔大明里29-39號金福樓地下A3-1號舖(365 Laundry)順便智能櫃+
順便智能櫃,大埔,H852AA20P,新界大埔太和邨安和樓地下順便智能櫃+
順便智能櫃,大埔,H852AA21P,新界大埔太和邨亨和樓地下順便智能櫃+
順便智能櫃,大埔,H852AA23P,新界大埔寶鄉街1號寶鄉邨寶順樓地下順便智能櫃+
順便智能櫃,大埔,H852AA24P,新界大埔露輝路33號嘉豐花園地下(村巴站)順便智能櫃(只供住戶使用)*+
順便智能櫃,大埔,H852AA26P,新界大埔鄉事會街9號大日子廣場二樓順便智能櫃
順便智能櫃,大埔,H852AA27P,新界大埔鄉事會街9號大日子廣場三樓順便智能櫃
順便智能櫃,大窩口,H852G023P,新界大窩口大窩口道15號大窩口第二商場地下LK01位置順便智能櫃+
順便智能櫃,大窩口,H852GA07P,新界大窩口荃華街3號悅來坊地下順便智能櫃
順便智能櫃,葵涌,H852D008P,新界葵涌敬祖路祖堯坊A&B座平台103號舖順便智能櫃+
順便智能櫃,葵涌,H852LA01P,新界葵涌青山公路葵涌段412-416號葵星中心商場地下順便智能櫃
順便智能櫃,葵涌,H852LA02P,新界葵涌油麻磡路63號昇柏山地下順便智能櫃(只供住戶使用)*
順便智能櫃,葵涌,H852LA03P,新界葵涌和宜合道26-30號和宜商場地下3號舖順便智能櫃
順便智能櫃,葵涌,H852LA05P,新界葵涌梨木道120號石蔭商場LG2層順便智能櫃
順便智能櫃,葵涌,H852LA06P,新界葵涌和宜合道144號瑞景大廈地下18號鋪(全日洗洗衣店)順便智能櫃+
順便智能櫃,葵涌,H852LA07P,新界葵涌石蔭商場地下順便智能櫃
順便智能櫃,葵涌,H852LB01P,新界葵涌葵盛圍63號葵盛東商場一樓順便智能櫃
順便智能櫃,荃灣,H852G009P,新界荃灣荃景圍208號荃德花園地下13B1號舖(水漾衣坊)順便智能櫃
順便智能櫃,荃灣,H852G010P,新界荃灣海盛路22-30號祈德尊新邨商場一樓順便智能櫃
順便智能櫃,荃灣,H852G014P,新界荃灣青山公路633號灣景花園商埸低層一樓(奇樂保齡天地)順便智能櫃
順便智能櫃,荃灣,H852G017P,新界荃灣青山公路荃灣段388號中國染廠大廈三樓順便智能櫃+
順便智能櫃,荃灣,H852G019P,新界荃灣大河道18號登發大廈地皇廣場二樓261號舖內順便智能櫃
順便智能櫃,荃灣,H852G020P,新界荃灣麗順路2號麗城花園運動場外地下電梯大堂順便智能櫃
順便智能櫃,荃灣,H852G022P,新界荃灣安逸街16號荃威花園三期J座炮樓6樓順便智能櫃
順便智能櫃,荃灣,H852GA01P,新界荃灣青山公路15-23號荃灣花園商場一樓(迪高保齡球館)順便智能櫃
順便智能櫃,荃灣,H852GA12P,新界荃灣怡康街2-12號海濱花園平台102B號舖(水漾衣坊)順便智能櫃
順便智能櫃,荃灣,H852GA26P,新界荃灣灰窰角街28號美德大廈停車場地下順便智能櫃+
順便智能櫃,荃灣,H852GA27P,新界荃灣大陂坊21號泰華大廈地下5號舖(365 Laundry)順便智能櫃
順便智能櫃,荃灣,H852GC24P,新界荃灣青山公路汀九段6號翠景臺平台順便智能櫃(只供住戶使用)*
順便智能櫃,荃灣,H852GC25P,新界荃灣半山街10-16號富華工業大廈地下停車場入口順便智能櫃+
順便智能櫃,荃灣,H852LA04P,新界荃灣象鼻山路象山邨翠山樓平台順便智能櫃+
順便智能櫃,馬灣,H852GC08P,新界馬灣珀麗路8號珀麗灣碼頭地下順便智能櫃
順便智能櫃,愉景灣,H852G011P,新界愉景灣愉景灣道92&96號愉景廣場一樓順便智能櫃
順便智能櫃,將軍澳,H852CC03P,新界將軍澳毓雅里9號慧安園商場一樓B5號舖順便智能櫃
順便智能櫃,將軍澳,H852CC13P,新界將軍澳石角路8號峻瀅一期地下順便智能櫃(只供峻瀅一期住戶使用)*
順便智能櫃,將軍澳,H852CC15P,新界將軍澳寶康路100號地下(SHELL油站)順便智能櫃
順便智能櫃,將軍澳,H852CC18P,新界將軍澳常寧路2號TKO Gateway地下順便智能櫃
順便智能櫃,將軍澳,H852CC20P,新界將軍澳寶康路108號廣明苑廣昌閣地下順便智能櫃+
順便智能櫃,將軍澳,H852CC24P,新界將軍澳翠林路 11 號翠林商場三樓順便智能櫃
順便智能櫃,將軍澳,H852CC25P,新界將軍澳彩明街彩明苑彩耀閣側近隧道順便智能櫃+
順便智能櫃,將軍澳,H852CC26P,新界將軍澳寶琳北路1號康盛花園三座地下L & M順便智能櫃+
順便智能櫃,將軍澳,H852CC27P,新界將軍澳寶琳北路18號寶林商場二樓LK01位置順便智能櫃
順便智能櫃,將軍澳,H852CC35P,新界將軍澳石角路6號峻瀅二期B座地下順便智能櫃(只供峻瀅二期住戶使用)*+
順便智能櫃,將軍澳,H852CC37P,新界將軍澳唐俊街11號寶盈花園商場一樓順便智能櫃
順便智能櫃,將軍澳,H852CC39P,新界將軍澳寶琳北路1號康盛花園商場一樓111號舖(洗衣寶)順便智能櫃+
順便智能櫃,將軍澳,H852CC40P,新界將軍澳蓬萊路8號清水灣半島會所一樓順便智能櫃(只供住戶使用)*
順便智能櫃,西貢,H852CC14P,新界西貢清水灣道1111號三育書院地下順便智能櫃(只供住戶使用)*
順便智能櫃,西貢,H852CC17P,新界西貢翠塘路1號翠塘花園第五座地下順便智能櫃(只供住戶使用)*+
順便智能櫃,西貢,H852CC29P,新界西貢科技大學LG3層順便智能櫃(只供科技大學成員使用)*
順便智能櫃,西貢,H852CC30P,新界西貢科技大學LG4層順便智能櫃(只供科技大學成員使用)*
順便智能櫃,馬鞍山,H852FE02P,新界馬鞍山錦英路6號富寶花園商場一樓F20號舖順便智能櫃
順便智能櫃,馬鞍山,H852FE05P,新界馬鞍山錦英路9號錦英商場二樓順便智能櫃+
