出版社
柏斯有限公司
長鴻出版社
城邦文化
春天出版
慈济文化出版社
大然文化
東立出版社
敦煌書局
爾雅出版社
光啟文化事業
翰林出版
行人文化實驗室
洪範書店
皇冠文化
惠達雜誌社
基本書坊
尖端出版
晶晶書庫
九章出版社
康軒文教事業
空中英语教室
老古文化
黎明文化
麗文文化事業機構
聯合文學
聯經出版
龍成出版
龍騰文化
麥田出版
南一書局
女書店
平原出版社
啟明出版社
前衛出版社
青文出版社
全華圖書
群學出版有限公司
瑞成書局
三民書局
尚禾文化
時報文化
水牛出版社
松雲軒
台視文化公司
台灣東販
台灣東方出版社
台灣角川
台灣英文雜誌社
臺灣福音書房
臺灣商務印書館
唐山出版社
天下文化
天下雜誌
威向文化
文星書店
五南文化
協和國際多媒體
新學友書局
信誼基金會
雄獅圖書
藝文印書館
英特發股份有限公司
幼獅文化
遠流出版公司
張老師月刊
正中书局
志文出版社
中國經濟通訊社
中國文化大學出版部
中視文化公司
中央書局
卓著出版社
