出版社
万卷出版公司
万国学术出版社／中国学术出版社
三晋出版社
三环出版社（海南出版社的副牌）
三秦出版社
上海三联书店
上海世界图书出版公司
上海中医药大学出版社
上海书店出版社
上海书画出版社
上海交通大学出版社
上海交通大学出版社
上海人民出版社
上海人民美术出版社
上海古籍出版社
上海外语教育出版社
上海大学出版社
上海教育出版社
上海文化出版社
上海文艺出版社
上海画报出版社
上海社会科学院出版社
上海科学技术出版社
上海科学技术文献出版社
上海科学普及出版社
上海科技教育出版社
上海翻译出版公司
上海译文出版社
上海财经大学出版社
上海辞书出版社
上海远东出版社
上海锦绣文章出版社
上海音乐出版社
专利文献出版社
世界图书出版公司
世界知识出版社
东北大学出版社
东北师范大学出版社
东北林业大学出版社
东北财经大学出版社
东华大学出版社
东南大学出版社
东方出版中心
东方出版社
中信出版社
中共中央党校出版社
中共党史出版社／中共党史资料出版社
中医古籍出版社
中华书局 (北京)
中华地图学社
中华工商联合出版社
中南大学出版社、中南工业大学出版社
中原农民出版社
中国ISBN中心
中国三峡出版社
中国世界语出版社
中国中医药出版社
中国书店出版社
中国书籍出版社
中国人事出版社
中国人口出版社
中国人民公安大学出版社
中国人民大学出版社
中国传媒大学出版社
中国农业出版社
中国农业大学出版社
中国农业机械出版社
中国农业科技出版社
中国劳动社会保障出版社
中国医药科技出版社
中国华侨出版社
中国协和医科大学出版社
中国卓越出版公司
中国友谊出版公司
中国发展出版社
中国和平出版社
中国商业出版社
中国国际广播出版社
中国地质大学出版社
中国城市出版社
中国大地出版社
中国大百科全书出版社
中国妇女出版社
中国妇女出版社
中国宇航出版社
中国审计出版社
中国对外经济贸易出版社
中国对外翻译出版公司
中国少年儿童出版社
中国展望出版社
中国工人出版社
中国工商出版社
中国市场出版社
中国广播电视出版社
中国建材工业出版社
中国戏剧出版社
中国摄影出版社
中国政法大学出版社
中国文史出版社
中国文联出版公司
中国新闻出版社
中国方正出版社
中国旅游出版社
中国时代经济出版社
中国曲艺出版社
中国林业出版社
中国标准出版社
中国档案出版社
中国检察出版社
中国民主法制出版社
中国民族摄影艺术出版社
中国民航出版社
中国水利水电出版社
中国法制出版社
中国海关出版社
中国海洋大学出版社
中国物价出版社
中国物资出版社
中国环境科学出版社
中国电力出版社
中国电影出版社
中国画报出版社／中国画报出版公司
中国盲文出版社
中国石化出版社／烃加工出版社
中国矿业大学出版社
中国社会出版社
中国社会科学出版社
中国科学技术出版社
中国科学技术大学出版社
中国税务出版社
中国纺织出版社
中国纺织大学出版社
中国线装书局
中国经济出版社
中国统计出版社
中国美术学院出版社
中国致公出版社
中国藏学出版社
中国言实出版社
中国计划出版社
中国计量出版社
中国财政经济出版社
中国轻工业出版社
中国连环画出版社
中国金融出版社
中国铁道出版社
中国长安出版社
中国青年出版社
中国食品出版社
中外文化出版公司
中央广播电视大学出版社
中央文献出版社
中央民族大学出版社
中央编译出版社
中央音乐学院出版
中山大学出版社
中州古籍出版社
九州出版社
九洲图书出版社
书海出版社（山西人民出版社的副牌）
书目文献出版社
二十一世纪出版社
云南人民出版社
云南大学出版社
云南教育出版社
云南民族出版社
云南科学技术出版社
云南美术出版社
五洲传播出版社
京华出版社
人民中国出版社
人民交通出版社
人民体育出版社
人民军医出版社
人民出版社
人民卫生出版社
人民教育出版社
人民文学出版社
人民日报出版社
人民武警出版社
人民法院出版社
人民美术出版社
人民邮电出版社
人民音乐出版社
今日中国出版社
企业管理出版社
伊犁人民出版社
作家出版社
光明日报出版社
