出版社
三聯書店（香港）
世界出版社
中國書局
中大出版社
中大出版社
中文大學出版社
中文大學出版社
中華書局（香港）
中華書局（香港）
中華書局（香港）
中華書局（香港）
信報
偉文出版社
偉能出版社
傲騏媒體
勤達出版
卓思出版社
博益出版集團（已結業）
和平圖書
商務印書館（香港）
嘉出版
培生教育出版（培生香港）
培生教育出版（培生香港）
培生教育出版（培生香港）
培生教育出版（培生香港）
天下雜誌出版
天地圖書
天地圖書
天窗出版
天馬出版社（天地圖書附屬）
天馬出版社（天地圖書附屬）
宏思出版社
宏豐圖書
導師出版社
小樹苗教育出版社
小魯文化
山邊社（新雅文化事業附屬）
教育出版社
文達出版（香港）
新世紀出版社
新雅文化事業有限公司
明報出版社
明河出版社
明窗出版社
星島出版社
星河教育出版社
智能教育出版社（香港三聯附屬）
智能教育出版社（香港三聯附屬）
智能教育出版社（香港三聯附屬）
有種文化
樂思教育出版
海天書樓出版
海濱圖書
牛津大學出版社（中國）有限公司
獲益出版事業
現代教育出版社
生命流出版社
田園書屋
皇冠出版社（香港）
皇冠出版社（香港）
真源出版社
知出版
突破出版社
精工出版社
經濟日報出版社
萬里機構
通用圖書
通用圖書
進一步出版社
遠流出版
雅集出版社
集思出版有限公司
靈異出版
青桐社（香港皇冠出版社附屬）
青椒出版（辣椒出版附屬）
香港人人書局
香港人人書局
香港公共圖書館
香港公開大學出版社
香港四季出版社
香港城市大學出版社
香港大學出版社
香港太平書局（香港商務印書館附屬）
香港教育圖書（香港商務印書館附屬）
香港教育圖書（香港商務印書館附屬）
香港考試及評核局
麥克米倫出版社（麥美倫新亞洲）
齡記出版
